-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  -38.3793   Longitude 147.328 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Open water (openwater) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,WS10M,WD10M,WSC
2025,1,1,0,7.45,230.7,101.42,6.65,228.1,6.34
2025,1,1,1,7.67,225.9,101.41,6.83,222.8,6.53
2025,1,1,2,7.59,221.5,101.35,6.7,218.0,6.46
2025,1,1,3,8.05,217.1,101.31,6.98,213.8,6.85
2025,1,1,4,9.3,215.3,101.32,7.97,212.8,7.92
2025,1,1,5,10.28,218.2,101.34,8.77,216.1,8.75
2025,1,1,6,10.79,224.0,101.37,9.2,222.4,9.19
2025,1,1,7,11.08,229.7,101.41,9.43,228.3,9.43
2025,1,1,8,10.99,233.4,101.49,9.42,232.4,9.36
2025,1,1,9,10.74,235.9,101.57,9.27,235.2,9.14
2025,1,1,10,10.67,236.0,101.67,9.2,235.6,9.08
2025,1,1,11,10.56,233.2,101.75,9.15,233.0,8.99
2025,1,1,12,9.99,230.0,101.8,8.73,229.9,8.5
2025,1,1,13,9.23,228.5,101.82,8.12,228.6,7.86
2025,1,1,14,8.6,226.8,101.85,7.59,227.1,7.32
2025,1,1,15,8.15,225.6,101.85,7.19,226.0,6.94
2025,1,1,16,7.62,225.2,101.84,6.73,225.7,6.49
2025,1,1,17,7.07,224.0,101.86,6.27,224.4,6.02
2025,1,1,18,6.37,221.1,101.89,5.68,221.6,5.42
2025,1,1,19,5.4,218.3,101.93,4.91,218.9,4.6
2025,1,1,20,4.92,214.6,101.99,4.56,215.5,4.19
2025,1,1,21,4.72,211.4,102.07,4.41,211.9,4.02
2025,1,1,22,4.44,209.3,102.13,4.17,209.1,3.78
2025,1,1,23,4.55,205.8,102.18,4.3,204.9,3.87
2025,1,2,0,4.74,201.4,102.21,4.49,199.8,4.04
2025,1,2,1,4.86,196.9,102.22,4.64,194.6,4.14
2025,1,2,2,5.04,192.1,102.19,4.84,189.6,4.29
2025,1,2,3,5.08,187.0,102.17,4.9,184.4,4.32
2025,1,2,4,4.95,181.7,102.15,4.79,179.4,4.21
2025,1,2,5,4.76,177.2,102.13,4.61,175.4,4.05
2025,1,2,6,4.43,173.5,102.12,4.29,172.1,3.77
